Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
199798652,"Daydream (Maple Hills, #3)",Hannah  Grace,"Grace, Hannah",,"=""1668026252""","=""9781668026250""",0,3.91,Atria Books,Paperback,433,2024,2024,,2024/01/21,to-read,to-read (#4436),to-read,,,,0,0
49826643,"Daughter of No Worlds (The War of Lost Hearts, #1)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.02,,Kindle Edition,520,2020,2020,,2024/01/21,to-read,to-read (#4435),to-read,,,,0,0
57892054,"Dark Fae (Ruthless Boys of the Zodiac, #1)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.06,Independently Published,Paperback,536,2021,2019,,2024/01/21,to-read,to-read (#4434),to-read,,,,0,0
60233000,My Killer Vacation,Tessa Bailey,"Bailey, Tessa",,"=""1087928532""","=""9781087928531""",3,3.58,Tessa Bailey,Paperback,290,2022,2022,2024/01/19,2022/06/16,,,read,,,,1,0
127463471,Come and Get It,Kiley Reid,"Reid, Kiley",,"=""""","=""""",0,3.33,G.P. Putnam's Sons,Kindle Edition,400,2024,2024,,2024/01/16,to-read,to-read (#4433),to-read,,,,0,0
58496710,The Gilded Ones,Namina Forna,"Forna, Namina",,"=""1984848712""","=""9781984848710""",0,3.98,Ember,Paperback,432,2022,2020,,2024/01/15,to-read,to-read (#4432),to-read,,,,0,0
40914164,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""149267012X""","=""9781492670124""",0,3.78,Sourcebooks Landmark,Paperback,458,2019,2018,,2021/07/01,to-read,to-read (#1829),to-read,,,,0,0
59986018,"The Book of Azrael (Gods & Monsters, #1)",Amber V. Nicole,"Nicole, Amber V.",,"=""""","=""""",0,4.12,Rose and Star Publishing,Kindle Edition,572,2022,2022,,2024/01/14,to-read,to-read (#4431),to-read,,,,0,0
63905241,"Blood & Steel (The Legends of Thezmarr, #1)",Helen Scheuerer,"Scheuerer, Helen",,"=""1922903027""","=""9781922903020""",0,4.19,Alchemy,Kindle Edition,550,2023,2023,,2024/01/14,to-read,to-read (#4430),to-read,,,,0,0
123170270,Kingdom of Blood and Salt (Blood and Salt #1),Alexis Calder,"Calder, Alexis",,"=""""","=""""",0,3.96,Illaria Publishing,Kindle Edition,330,2023,2023,,2024/01/14,to-read,to-read (#4429),to-read,,,,0,0
75565941,"A Kiss of Iron (Shadows of the Tenebris Court, #1)",Clare Sager,"Sager, Clare",,"=""""","=""""",0,3.95,Wicked Lady Press,Kindle Edition,608,2023,2023,,2024/01/14,to-read,to-read (#4428),to-read,,,,0,0
63898425,"The Summer We Fell (The Summer, #1)",Elizabeth O'Roark,"O'Roark, Elizabeth",,"=""""","=""""",0,4.01,,ebook,318,2023,2023,,2024/01/14,to-read,to-read (#4427),to-read,,,,0,0
80614186,Desserts for Stressed People (Love & Other Recipes),Letizia Lorini,"Lorini, Letizia",,"=""915274695X""","=""9789152746950""",0,4.01,Amazon Digital Services,Kindle Edition,391,2023,2023,,2024/01/14,to-read,to-read (#4426),to-read,,,,0,0
62987104,"Lady of Darkness (Lady of Darkness, #1)",Melissa K. Roehrich,"Roehrich, Melissa K.",,"=""""","=""9798549989214""",0,4.14,,Paperback,538,2022,2020,,2024/01/14,to-read,to-read (#4425),to-read,,,,0,0
51883947,When Heroes Flew (When Heroes Flew #1),"H.W. ""Buzz"" Bernard","Bernard, H.W. ""Buzz""",,"=""""","=""""",0,4.51,Severn River Publishing,Kindle Edition,315,2020,2020,,2024/01/14,to-read,to-read (#4424),to-read,,,,0,0
75858652,The Boy From Block 66: A WW2 Jewish Holocaust Survival True Story (Heroic Children of World War II Book 1),Limor Regev,"Regev, Limor",,"=""""","=""""",0,4.45,ReadMore Press,Kindle Edition,243,2023,,,2024/01/14,to-read,to-read (#4423),to-read,,,,0,0
61884779,The Salt Grows Heavy,Cassandra Khaw,"Khaw, Cassandra",,"=""1250830915""","=""9781250830913""",0,3.54,Tor Nightfire,Hardcover,106,2023,2023,,2024/01/14,to-read,to-read (#4422),to-read,,,,0,0
154488390,Rebel Skies (Rebel Skies #1),Ann Sei Lin,"Lin, Ann Sei",,"=""1774883988""","=""9781774883983""",0,3.81,Tundra Books,Hardcover,360,2024,2022,,2024/01/14,to-read,to-read (#4421),to-read,,,,0,0
